
                                       SUMMARY OF WATER BALANCE

                                                              CHANGE IN STORAGE
                               PRECIP          PLANT   ------------------------------  DEEP                     CUM.
 DAY HR  YR   PRECIP  SNOWMELT INTRCP    ET    TRANSP  CANOPY   SNOW  RESIDUE   SOIL   PERC   RUNOFF   PONDED    ET    ERROR
                 MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM
  74 24 2018    1.92    0.92    0.00    2.22    1.14    0.00   -0.04    0.00   -0.22    0.00    0.00    0.00    68.1    0.01
  75 24 2018    0.00    0.60    0.00    1.82    1.37   -0.01   -0.96    0.00   -0.78    0.00    0.00    0.00    69.9   -0.07
  76 24 2018    0.21    8.15    0.11    2.08    1.99    0.00   -8.09    0.00    2.04    0.00    0.00    4.09    72.0   -0.02
  77 24 2018    4.79    0.05    0.55    2.42    0.43    0.00    2.27    0.00   -0.08    0.00    0.00    3.79    74.4    0.04
  78 24 2018    0.04    0.02    0.02    1.07    0.40    0.00   -0.09    0.00   -0.10    0.00    0.00    3.51    75.5   -0.02
  79 24 2018    0.96    0.00    0.00    0.65    0.01    0.00    0.36    0.00   -0.01    0.00    0.00    3.50    76.2   -0.02
  80 24 2018    0.04    0.76    0.02    1.70    1.65    0.01   -0.77    0.00    0.07    0.00    0.00    2.56    77.9   -0.04
  81 24 2018    1.21    3.78    0.13    3.32    2.80    0.01   -3.22    0.00    0.16    0.00    0.00    3.31    81.2    0.09
  82 24 2018    5.75    5.67    0.18    4.34    1.35    0.00   -2.93    0.00    0.19    0.00    0.00    7.41    85.5    0.02
  83 24 2018    0.04    7.53    0.02    2.69    2.42   -0.01   -7.50    0.00    0.06    0.00    0.00   12.42    88.2   -0.05
  84 24 2018    1.38    4.79    0.34    2.82    2.37    0.01   -4.13    0.00    0.04    0.00    0.00   14.62    91.0    0.12
  85 24 2018    9.67    3.91    2.01    3.67    0.38   -0.01    0.90    0.00   -0.16    0.00    0.00   18.23    94.7   -0.01
  86 24 2018    2.21    0.00    0.15    3.05    0.00   -0.01    1.15    0.00   -0.07    0.00    0.00   18.21    97.7   -0.02
  87 24 2018    6.79    0.00    1.12    2.54    0.05    0.01    3.37    0.00   -0.31    0.00    0.00   18.20   100.3    0.23
  88 24 2018    1.92    0.00    0.00    2.12    0.01    0.00    1.00    0.00   -0.06    0.00    0.00   18.19   102.4   -0.01
  89 24 2018    0.00    0.88    0.00    1.28    1.24    0.00   -0.95    0.00   -0.15    0.00    0.00   18.03   103.7   -0.02
  90 24 2018    0.29    2.67    0.15    2.06    2.03    0.00   -2.57    0.00    0.17    0.00    0.00   18.54   105.7   -0.03
  91 24 2018    6.83    5.29    0.06    6.51    2.85   -0.01   -2.02    0.00    0.24    0.00    1.16   19.57   112.3    0.00
  92 24 2018    2.88    9.38    0.00    6.17    4.55    0.00   -7.91    0.00    0.16    0.00    4.26   19.65   118.4    0.18
  93 24 2018    0.00    0.52    0.00    2.78    2.01   -0.01   -0.99    0.00   -1.21    0.00    0.00   19.12   121.2   -0.04
  94 24 2018    0.00    0.00    0.00    4.68    3.71    0.01    0.00    0.00    1.28    0.00    0.00   13.16   125.9   -0.01
  95 24 2018    0.67    0.00    0.34    2.67    2.45    0.01    0.75    0.00    3.85    0.00    0.00    6.21   128.6   -0.01
  96 24 2018   15.58    0.00    4.69    0.54    0.00    0.00   10.92    0.00    0.52    0.00    0.00    5.47   129.1    0.00
  97 24 2018    6.21    1.65    3.91    2.72    0.00    0.01    2.55    0.00    0.34    0.00    0.00    6.84   131.8    0.01
  98 24 2018   10.67    2.20    3.36    5.12    0.00   -0.02    3.94    0.00    0.01    0.00    0.00    9.01   136.9    0.00
  99 24 2018    2.88    2.90    0.00    5.51    0.71    0.00   -1.43    0.00   -0.24    0.00    0.00   11.39   142.4    0.01
